DATE,NoDur,Durbl,Manuf,Enrgy,Chems,BusEq,Telcm,Utils,Shops,Hlth,Money,Other
1960-01-29,,,,,,,,,,,,
1960-02-29,,,,,,,,,,,,
1960-03-31,,,,,,,,,,,,
1960-04-29,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1960-05-31,2.0,1.0,4.0,1.0,1.0,1.0,0.0,6.0,2.0,1.0,1.0,1.0
1960-06-30,30.0,10.0,62.0,11.0,11.0,14.0,2.0,20.0,16.0,4.0,9.0,25.0
1960-07-29,31.0,10.0,61.0,11.0,11.0,14.0,2.0,20.0,18.0,5.0,9.0,23.0
1960-08-31,30.0,10.0,61.0,11.0,11.0,14.0,2.0,21.0,18.0,5.0,9.0,24.0
1960-09-30,30.0,10.0,62.0,11.0,10.0,14.0,2.0,18.0,18.0,5.0,9.0,25.0
1960-10-31,30.0,10.0,61.0,10.0,11.0,14.0,2.0,21.0,18.0,5.0,9.0,25.0
1960-11-30,31.0,11.0,62.0,9.0,12.0,15.0,3.0,20.0,19.0,4.0,9.0,22.0
1960-12-30,30.0,11.0,63.0,11.0,12.0,12.0,2.0,20.0,17.0,5.0,9.0,25.0
1961-01-31,29.0,11.0,63.0,11.0,11.0,14.0,2.0,21.0,17.0,5.0,9.0,25.0
1961-02-28,30.0,11.0,63.0,11.0,12.0,14.0,2.0,21.0,19.0,5.0,9.0,23.0
1961-03-30,29.0,11.0,65.0,10.0,11.0,14.0,2.0,21.0,19.0,5.0,8.0,25.0
1961-04-28,29.0,11.0,64.0,11.0,11.0,14.0,2.0,21.0,20.0,5.0,9.0,25.0
1961-05-31,28.0,11.0,65.0,10.0,11.0,14.0,2.0,22.0,18.0,5.0,9.0,24.0
1961-06-30,30.0,11.0,65.0,10.0,11.0,14.0,2.0,21.0,19.0,5.0,9.0,26.0
1961-07-31,29.0,11.0,65.0,10.0,11.0,14.0,2.0,22.0,19.0,5.0,8.0,25.0
1961-08-31,30.0,11.0,63.0,10.0,11.0,15.0,2.0,20.0,19.0,5.0,9.0,24.0
1961-09-29,29.0,11.0,65.0,10.0,12.0,15.0,2.0,19.0,19.0,5.0,9.0,25.0
1961-10-31,28.0,10.0,63.0,9.0,12.0,15.0,2.0,22.0,20.0,4.0,8.0,24.0
1961-11-30,31.0,9.0,63.0,9.0,11.0,15.0,3.0,22.0,19.0,4.0,9.0,24.0
1961-12-29,30.0,11.0,64.0,11.0,12.0,14.0,2.0,21.0,18.0,5.0,8.0,24.0
1962-01-31,30.0,11.0,64.0,10.0,12.0,15.0,2.0,22.0,16.0,4.0,9.0,24.0
1962-02-28,30.0,11.0,65.0,11.0,12.0,15.0,2.0,22.0,20.0,5.0,9.0,23.0
1962-03-30,30.0,11.0,66.0,10.0,12.0,15.0,2.0,21.0,20.0,5.0,9.0,24.0
1962-04-30,29.0,11.0,65.0,10.0,13.0,16.0,2.0,21.0,20.0,5.0,9.0,24.0
1962-05-31,29.0,11.0,65.0,11.0,13.0,16.0,2.0,23.0,20.0,5.0,10.0,24.0
1962-06-29,30.0,11.0,66.0,10.0,12.0,16.0,2.0,20.0,20.0,4.0,9.0,24.0
1962-07-31,29.0,11.0,68.0,11.0,13.0,12.0,2.0,22.0,18.0,6.0,10.0,24.0
1962-08-31,29.0,12.0,68.0,11.0,13.0,12.0,2.0,22.0,18.0,6.0,11.0,23.0
1962-09-28,30.0,12.0,68.0,11.0,13.0,12.0,2.0,20.0,18.0,6.0,11.0,24.0
1962-10-31,28.0,12.0,66.0,10.0,13.0,12.0,2.0,23.0,18.0,7.0,11.0,24.0
1962-11-30,30.0,13.0,68.0,12.0,12.0,14.0,2.0,22.0,18.0,5.0,13.0,24.0
1962-12-31,48.0,23.0,106.0,24.0,20.0,22.0,4.0,24.0,36.0,7.0,24.0,47.0
1963-01-31,50.0,23.0,107.0,24.0,20.0,23.0,4.0,24.0,33.0,8.0,28.0,46.0
1963-02-28,50.0,23.0,107.0,25.0,20.0,24.0,5.0,24.0,36.0,8.0,24.0,45.0
1963-03-29,49.0,23.0,107.0,24.0,20.0,24.0,4.0,23.0,38.0,8.0,25.0,46.0
1963-04-30,49.0,24.0,107.0,24.0,20.0,24.0,4.0,24.0,37.0,8.0,24.0,46.0
1963-05-31,50.0,22.0,106.0,24.0,20.0,24.0,5.0,25.0,38.0,8.0,24.0,46.0
1963-06-28,50.0,23.0,108.0,24.0,19.0,24.0,4.0,24.0,37.0,7.0,26.0,46.0
1963-07-31,50.0,23.0,107.0,24.0,20.0,24.0,4.0,24.0,37.0,8.0,26.0,46.0
1963-08-30,50.0,23.0,105.0,24.0,20.0,23.0,5.0,25.0,38.0,8.0,26.0,46.0
1963-09-30,51.0,24.0,107.0,24.0,20.0,24.0,5.0,23.0,38.0,8.0,27.0,45.0
1963-10-31,51.0,23.0,104.0,24.0,19.0,23.0,4.0,23.0,38.0,8.0,27.0,45.0
1963-11-29,50.0,20.0,104.0,24.0,19.0,25.0,4.0,21.0,38.0,7.0,26.0,45.0
1963-12-31,51.0,24.0,107.0,23.0,18.0,25.0,5.0,23.0,37.0,7.0,28.0,46.0
1964-01-31,51.0,23.0,107.0,23.0,19.0,24.0,5.0,24.0,36.0,8.0,28.0,44.0
1964-02-28,51.0,24.0,106.0,24.0,17.0,24.0,3.0,23.0,38.0,8.0,26.0,46.0
1964-03-31,50.0,23.0,107.0,24.0,19.0,24.0,5.0,23.0,40.0,8.0,26.0,45.0
1964-04-30,50.0,24.0,106.0,24.0,19.0,25.0,5.0,24.0,40.0,8.0,26.0,47.0
1964-05-28,50.0,23.0,108.0,24.0,18.0,25.0,5.0,22.0,41.0,8.0,26.0,45.0
1964-06-30,51.0,24.0,108.0,25.0,19.0,26.0,5.0,22.0,41.0,8.0,27.0,45.0
1964-07-31,51.0,25.0,105.0,24.0,19.0,27.0,4.0,25.0,40.0,8.0,27.0,47.0
1964-08-31,51.0,24.0,106.0,24.0,19.0,27.0,4.0,22.0,39.0,8.0,26.0,46.0
1964-09-30,52.0,25.0,109.0,24.0,20.0,27.0,4.0,23.0,41.0,8.0,27.0,46.0
1964-10-30,51.0,24.0,107.0,22.0,20.0,27.0,5.0,24.0,41.0,8.0,27.0,45.0
1964-11-30,54.0,22.0,106.0,24.0,21.0,27.0,4.0,22.0,41.0,8.0,27.0,43.0
1964-12-31,53.0,23.0,107.0,24.0,21.0,26.0,5.0,25.0,41.0,7.0,28.0,47.0
1965-01-29,53.0,25.0,107.0,24.0,21.0,27.0,5.0,25.0,39.0,7.0,27.0,45.0
1965-02-26,54.0,24.0,106.0,23.0,19.0,27.0,5.0,22.0,40.0,9.0,24.0,44.0
1965-03-31,54.0,25.0,108.0,23.0,19.0,27.0,5.0,25.0,42.0,8.0,27.0,47.0
1965-04-30,54.0,23.0,107.0,23.0,21.0,27.0,5.0,25.0,41.0,8.0,26.0,46.0
1965-05-28,53.0,23.0,107.0,24.0,21.0,27.0,5.0,23.0,41.0,8.0,26.0,45.0
1965-06-30,51.0,24.0,107.0,23.0,21.0,27.0,5.0,24.0,42.0,8.0,26.0,46.0
1965-07-30,54.0,24.0,110.0,22.0,21.0,27.0,5.0,25.0,43.0,9.0,26.0,47.0
1965-08-31,53.0,24.0,108.0,23.0,21.0,28.0,6.0,23.0,41.0,8.0,26.0,46.0
1965-09-30,55.0,24.0,108.0,23.0,21.0,28.0,6.0,24.0,43.0,8.0,27.0,47.0
1965-10-29,53.0,24.0,107.0,22.0,21.0,28.0,6.0,25.0,43.0,8.0,27.0,48.0
1965-11-30,55.0,24.0,102.0,22.0,21.0,28.0,4.0,22.0,40.0,6.0,24.0,47.0
1965-12-31,54.0,24.0,109.0,22.0,21.0,28.0,6.0,25.0,42.0,9.0,27.0,46.0
1966-01-31,55.0,24.0,110.0,22.0,20.0,28.0,6.0,26.0,39.0,8.0,28.0,49.0
1966-02-28,55.0,25.0,105.0,23.0,20.0,28.0,6.0,24.0,40.0,9.0,26.0,45.0
1966-03-31,55.0,25.0,108.0,23.0,20.0,29.0,6.0,24.0,44.0,8.0,27.0,48.0
1966-04-29,55.0,24.0,109.0,23.0,21.0,29.0,6.0,26.0,42.0,8.0,26.0,49.0
1966-05-31,56.0,23.0,109.0,21.0,20.0,28.0,6.0,25.0,42.0,8.0,27.0,46.0
