,hrp_turnover,rf_rate,hrp_return,predicted_regime,prob_bull,actual_regime,financing_spread,allocation_binary,regime_binary_return,allocation_prob,regime_prob_return,allocation_prob_scaled,regime_prob_scaled_return,prob_scale_factor,inner_cost_stage1,outer_cost_stage2,turnover_NoDur,turnover_Durbl,turnover_Manuf,turnover_Enrgy,turnover_Chems,turnover_BusEq,turnover_Telcm,turnover_Utils,turnover_Shops,turnover_Hlth,turnover_Money,turnover_Other,inner_cost,outer_cost_buyhold,financing_cost_buyhold,hrp_return_net,outer_cost_binary,financing_cost_binary,regime_binary_return_net,outer_cost_prob,financing_cost_prob,regime_prob_return_net,outer_cost_scaled,financing_cost_scaled,regime_prob_scaled_return_net
1988-05-31,1.0,0.0051,0.0424712816695946,0,0.40765658,1,0.0004166666666666667,0.5,0.0237856408347973,0.40765658,0.020334649035473426,0.6128361,0.028002471351728685,1.5033147,0.0009999999892995205,0.001,1.0,0.9999998807907104,1.0,1.0,1.0,0.9999999403953552,1.0,1.0,1.0,1.0,1.0,1.0,0.0020000000367969718,0.0,0.0,0.04047128163279763,0.0,0.0,0.022785640816398816,0.0,0.0,0.019519335860053433,0.0,0.0,0.026776799084152536
1988-06-30,0.30436632,0.0049,8.698356938308116e-05,0,0.328235,1,0.0004166666666666667,0.5,0.0024934917846915405,0.328235,0.003320199404074956,0.4934405,0.0025250627234092273,1.5033147,6.702852506962865e-05,0.00030436635,0.06990303099155426,0.08833280205726624,0.08106698095798492,0.036480844020843506,0.08019386231899261,0.055929381400346756,0.04261775314807892,0.07385984808206558,0.10460500419139862,0.07237677276134491,0.07226397097110748,0.09936535358428955,0.00037139487058696595,0.0,0.0,-0.0002844113012038848,0.0,0.0,0.0023077943493980575,0.00015884316,0.0,0.003039451446236559,0.00023879124,0.0,0.002103010210386666
1988-07-31,0.27152294,0.0051,-0.0310487086106143,0,0.29380003,1,0.0004166666666666667,0.5,-0.01297435430530715,0.29380003,-0.005520491384120543,0.4416739,-0.010865941128379445,1.5033147,6.616892862716462e-05,0.00027152296,0.08212246745824814,0.09100431948900223,0.09738456457853317,0.0456274151802063,0.07596650719642639,0.06127968430519104,0.03904305398464203,0.06758879125118256,0.07683619856834412,0.0571880005300045,0.07377682626247406,0.08920697867870331,0.0003376918925123825,0.0,0.0,-0.03138640050312668,0.0,0.0,-0.01314320025156334,6.886995e-05,0.0,-0.005688575222045599,0.00010353321,0.0,-0.011118624034883716
1988-08-31,0.13247578,0.0059,0.0381936315469331,0,0.37451103,1,0.0004166666666666667,0.5,0.022046815773466552,0.37451103,0.017994321495374815,0.56300795,0.02408157132057281,1.5033147,6.504758832468548e-05,0.00013247579,0.06038753688335419,0.07167471200227737,0.07378430664539337,0.036264568567276,0.04460880905389786,0.07419833540916443,0.036655597388744354,0.1043202131986618,0.11370591819286346,0.03976069390773773,0.05855543911457062,0.06968967616558075,0.00019752337877596625,0.0,0.0,0.037996108168157135,0.0,0.0,0.02194805408407857,0.00016142202,0.0,0.017758924787023105,0.0002426681,0.0,0.023727695985710336
1988-09-30,0.03467438,0.0062,0.02163641036435,0,0.30570275,1,0.0004166666666666667,0.5,0.013918205182175,0.30570275,0.010918953035444212,0.45956743,0.013294071403065561,1.5033147,6.171119949561718e-05,3.467438e-05,0.07426905632019043,0.07164386659860611,0.06408915668725967,0.0361042246222496,0.07255576550960541,0.06424320489168167,0.030874062329530716,0.050224363803863525,0.07548592239618301,0.05864369869232178,0.10157033056020737,0.10172868520021439,9.638557949932466e-05,0.0,0.0,0.021540024784850675,0.0,0.0,0.013870012392425338,0.00013761657,0.0,0.010751871124476876,0.00020688106,0.0,0.013042894672995723
1988-10-31,0.033635344,0.0060999999999999995,-0.011240695893777,1,0.53361166,1,0.0004166666666666667,1.0,-0.011240695893777,0.53361166,-0.003153197438810151,0.80218625,-0.007810467823326281,1.5033147,6.443771812743658e-05,3.3635344e-05,0.09481366723775864,0.09599068015813828,0.08145657926797867,0.031119730323553085,0.035518307238817215,0.08350923657417297,0.05175379291176796,0.07219882309436798,0.08307382464408875,0.05173257365822792,0.05679072067141533,0.09630663692951202,9.807306228000821e-05,0.0,0.0,-0.011338768956057009,0.001,0.0,-0.012338768956057008,0.00045581785,0.0,-0.0036613482158857034,0.0006852377,0.0,-0.008574378382775685
1988-11-30,0.026646275,0.005699999999999999,0.0163825183570462,1,0.6438709,1,0.0004166666666666667,1.0,0.0163825183570462,0.6438709,0.012578162603493925,0.96794057,0.01604004289605984,1.5033147,6.146167519828093e-05,2.6646276e-05,0.08868534862995148,0.050472430884838104,0.0609673447906971,0.037125978618860245,0.06988724321126938,0.07546935975551605,0.05087658017873764,0.07483113557100296,0.09508877247571945,0.04260481894016266,0.050130657851696014,0.0827777311205864,8.810795092640698e-05,0.0,0.0,0.016294410406119793,0.0,0.0,0.016294410406119793,0.00022051849,0.0,0.012300913972244604,0.00033150867,0.0,0.015623250970800629
1988-12-31,0.108356506,0.0063,0.0662619907861408,1,0.6011588,1,0.0004166666666666667,1.0,0.0662619907861408,0.6011588,0.0423466782911495,0.90373087,0.06048950205771064,1.5033147,5.8707741645059777e-05,0.00010835651,0.12217560410499573,0.04971551150083542,0.06397402286529541,0.039916832000017166,0.04361162334680557,0.06453825533390045,0.048215679824352264,0.05185890942811966,0.05546147748827934,0.043710462749004364,0.09116671979427338,0.0659438744187355,0.0001670642491983131,0.0,0.0,0.06609492653694249,0.0,0.0,0.06609492653694249,8.542419e-05,0.0,0.04216082195995533,0.0001284194,0.0,0.0602101015381292
1989-01-31,0.08860386,0.0055000000000000005,-0.0196355765856681,0,0.4140056,1,0.0004166666666666667,0.5,-0.007067788292834049,0.4140056,-0.004906269814771026,0.62238073,-0.010143898592081936,1.5033147,6.096752152019863e-05,8.860387e-05,0.07701284438371658,0.06461825221776962,0.05964985489845276,0.04670007899403572,0.04664129763841629,0.0621001198887825,0.03718773275613785,0.05986001342535019,0.07120911777019501,0.06232517957687378,0.09298360347747803,0.08663216978311539,0.00014957139030970384,0.0,0.0,-0.0197851479759778,0.001,0.0,-0.008142573987988901,0.0003743064,0.0,-0.0053424996098330405,0.0005627003,0.0,-0.010799689270246484
1989-02-28,0.047567066,0.0060999999999999995,0.0292008876198814,1,0.5157657,1,0.0004166666666666667,1.0,0.0292008876198814,0.5157657,0.018014646087594916,0.7753582,0.024011462645045487,1.5033147,5.924314320101206e-05,4.7567068e-05,0.0534258708357811,0.04072268679738045,0.06351466476917267,0.03862878680229187,0.060932647436857224,0.05954843387007713,0.030127696692943573,0.08088168501853943,0.06455906480550766,0.06851660460233688,0.06099186837673187,0.1275819092988968,0.00010681021086885397,0.0,0.0,0.02909407740901255,0.001,0.0,0.028094077409012548,0.00020352025,0.0,0.01775603679282097,0.00030595495,0.0,0.02362269152319778
